TimeLimit = 120;

NT = 148;

DTm = {<1 1 16>
<1 2 30>
<1 3 7>
<1 4 47>
<1 5 29>
<1 6 8>
<1 7 39>
<1 8 37>
<1 9 32>
<1 10 29>
<1 11 17>
<1 12 11>
<1 13 32>
<1 14 15>
<1 15 53>
<1 16 53>
<1 17 8>
<1 18 24>
<1 19 24>
<1 20 8>
<1 21 7>
<1 22 8>
<1 23 14>
<1 24 13>
<1 25 10>
<1 26 25>
<1 27 11>
<1 28 25>
<1 29 11>
<1 30 29>
<1 31 25>
<1 32 10>
<1 33 14>
<1 34 41>
<1 35 42>
<1 36 47>
<1 37 7>
<1 38 80>
<1 39 7>
<1 40 41>
<1 41 47>
<1 42 16>
<1 43 32>
<1 44 66>
<1 45 80>
<1 46 7>
<1 47 41>
<1 48 13>
<1 49 47>
<1 50 33>
<1 51 34>
<1 52 11>
<1 53 118>
<1 54 25>
<1 55 7>
<1 56 28>
<1 57 12>
<1 58 52>
<1 59 14>
<1 60 3>
<1 61 3>
<1 62 8>
<1 63 16>
<1 64 33>
<1 65 8>
<1 66 18>
<1 67 10>
<1 68 14>
<1 69 28>
<1 70 11>
<1 71 118>
<1 72 25>
<1 73 40>
<1 74 40>
<1 75 101>
<1 76 5>
<1 77 28>
<1 78 8>
<1 79 281>
<1 80 7>
<1 81 26>
<1 82 10>
<1 83 21>
<1 84 26>
<1 85 20>
<1 86 21>
<1 87 47>
<1 88 23>
<1 89 13>
<1 90 19>
<1 91 115>
<1 92 35>
<1 93 26>
<1 94 46>
<1 95 20>
<1 96 31>
<1 97 19>
<1 98 34>
<1 99 51>
<1 100 39>
<1 101 30>
<1 102 26>
<1 103 13>
<1 104 45>
<1 105 58>
<1 106 28>
<1 107 8>
<1 108 383>
<1 109 40>
<1 110 34>
<1 111 23>
<1 112 162>
<1 113 11>
<1 114 19>
<1 115 14>
<1 116 31>
<1 117 32>
<1 118 26>
<1 119 55>
<1 120 31>
<1 121 32>
<1 122 26>
<1 123 19>
<1 124 14>
<1 125 19>
<1 126 48>
<1 127 55>
<1 128 8>
<1 129 11>
<1 130 27>
<1 131 18>
<1 132 36>
<1 133 23>
<1 134 20>
<1 135 46>
<1 136 64>
<1 137 22>
<1 138 15>
<1 139 34>
<1 140 22>
<1 141 151>
<1 142 148>
<1 143 64>
<1 144 170>
<1 145 137>
<1 146 64>
<1 147 78>
<1 148 78>
};

PREC = {<1, 5>
<1, 6>
<1, 7>
<1, 8>
<2, 3>
<3, 4>
<3, 5>
<3, 6>
<3, 7>
<4, 8>
<5, 14>
<6, 9>
<7, 14>
<8, 10>
<9, 14>
<10, 14>
<11, 12>
<12, 13>
<14, 15>
<14, 16>
<15, 17>
<16, 17>
<17, 18>
<17, 19>
<18, 20>
<19, 20>
<20, 21>
<20, 22>
<20, 23>
<20, 24>
<21, 25>
<21, 26>
<21, 27>
<21, 28>
<22, 25>
<22, 26>
<22, 27>
<22, 28>
<23, 25>
<23, 26>
<23, 27>
<23, 28>
<24, 25>
<24, 26>
<24, 27>
<24, 28>
<25, 29>
<26, 29>
<27, 29>
<28, 29>
<29, 31>
<31, 36>
<32, 34>
<33, 35>
<34, 36>
<35, 36>
<36, 37>
<37, 38>
<37, 45>
<38, 39>
<39, 40>
<40, 41>
<40, 48>
<40, 54>
<42, 43>
<43, 44>
<45, 46>
<46, 47>
<47, 48>
<47, 49>
<47, 54>
<50, 51>
<51, 53>
<51, 69>
<52, 53>
<54, 55>
<54, 72>
<54, 76>
<54, 89>
<54, 90>
<55, 133>
<56, 73>
<57, 82>
<58, 86>
<58, 88>
<59, 75>
<59, 89>
<61, 62>
<62, 63>
<63, 67>
<64, 65>
<64, 71>
<64, 72>
<65, 66>
<65, 99>
<66, 67>
<67, 68>
<68, 95>
<68, 98>
<69, 79>
<70, 71>
<72, 134>
<73, 86>
<73, 88>
<73, 89>
<73, 90>
<73, 96>
<74, 75>
<75, 90>
<75, 97>
<76, 77>
<77, 78>
<78, 82>
<79, 85>
<79, 80>
<79, 143>
<79, 146>
<80, 81>
<81, 82>
<82, 83>
<83, 84>
<84, 106>
<86, 87>
<90, 111>
<91, 105>
<92, 135>
<95, 101>
<96, 104>
<98, 101>
<99, 100>
<100, 101>
<101, 102>
<101, 103>
<102, 127>
<103, 127>
<105, 119>
<106, 107>
<107, 108>
<108, 109>
<109, 110>
<111, 112>
<112, 113>
<113, 114>
<113, 116>
<113, 120>
<113, 123>
<113, 128>
<114, 115>
<115, 125>
<116, 117>
<117, 118>
<118, 126>
<120, 121>
<121, 122>
<122, 126>
<123, 124>
<124, 125>
<128, 129>
<129, 130>
<130, 131>
<130, 137>
<132, 135>
<133, 135>
<134, 135>
<135, 136>
<138, 139>
<139, 140>
<141, 142>
<142, 143>
<142, 146>
<142, 147>
<142, 148>
<144, 145>
<145, 147>
<145, 148>
};



NW = 5;
NS = 5;
NM = 1;
OR = [1.0];
precision = 0.000886524822695035;
WSFIXe = {
<1 1>
<2 2>
<3 3>
<4 4>
<5 5>
};
WSFEASe = { };
TSFIXe = { };
FATSe = { };
MT = { };
TTIne = { };
TWIne = { };
