TimeLimit = 120;

NT = 53;

DTm = {<1 1 971>
<1 2 142>
<1 3 142>
<1 4 142>
<1 5 103>
<1 6 96>
<1 7 99>
<1 8 1207>
<1 9 160>
<1 10 180>
<1 11 82>
<1 12 60>
<1 13 112>
<1 14 420>
<1 15 1556>
<1 16 236>
<1 17 259>
<1 18 125>
<1 19 601>
<1 20 80>
<1 21 80>
<1 22 70>
<1 23 89>
<1 24 89>
<1 25 105>
<1 26 330>
<1 27 132>
<1 28 69>
<1 29 99>
<1 30 70>
<1 31 70>
<1 32 158>
<1 33 191>
<1 34 70>
<1 35 53>
<1 36 50>
<1 37 125>
<1 38 353>
<1 39 70>
<1 40 128>
<1 41 65>
<1 42 1775>
<1 43 91>
<1 44 91>
<1 45 113>
<1 46 487>
<1 47 138>
<1 48 80>
<1 49 80>
<1 50 65>
<1 51 40>
<1 52 742>
<1 53 1085>
};

PREC = {<1, 2>
<1, 3>
<1, 4>
<1, 5>
<1, 6>
<1, 7>
<2, 36>
<3, 36>
<4, 9>
<5, 9>
<6, 9>
<7, 9>
<8, 9>
<9, 10>
<10, 11>
<11, 12>
<12, 13>
<12, 14>
<12, 15>
<13, 16>
<13, 17>
<13, 18>
<14, 22>
<15, 16>
<15, 17>
<16, 29>
<16, 30>
<16, 31>
<17, 19>
<18, 42>
<19, 20>
<19, 21>
<19, 22>
<20, 23>
<21, 24>
<22, 25>
<23, 36>
<24, 36>
<25, 26>
<26, 27>
<27, 28>
<28, 29>
<28, 30>
<28, 31>
<28, 32>
<28, 33>
<28, 34>
<29, 35>
<30, 35>
<31, 35>
<32, 35>
<33, 35>
<34, 35>
<35, 36>
<36, 37>
<37, 38>
<37, 39>
<37, 40>
<38, 41>
<39, 41>
<40, 41>
<41, 42>
<42, 43>
<42, 44>
<42, 45>
<42, 46>
<42, 47>
<43, 48>
<44, 49>
<45, 51>
<45, 52>
<46, 50>
<47, 51>
<47, 52>
<48, 51>
<48, 52>
<49, 51>
<49, 52>
<50, 51>
<50, 52>
<51, 53>
<52, 53>
};



NW = 7;
NS = 7;
NM = 1;
OR = [1.0];
precision = 0.000427899015832264;
WSFIXe = {
<1 1>
<2 2>
<3 3>
<4 4>
<5 5>
<6 6>
<7 7>
};
WSFEASe = { };
TSFIXe = { };
FATSe = { };
MT = { };
TTIne = { };
TWIne = { };
