TimeLimit = 120;

NT = 45;

DTm = {<1 1 9>
<1 2 9>
<1 3 10>
<1 4 10>
<1 5 17>
<1 6 17>
<1 7 13>
<1 8 13>
<1 9 20>
<1 10 20>
<1 11 10>
<1 12 11>
<1 13 6>
<1 14 22>
<1 15 11>
<1 16 19>
<1 17 12>
<1 18 3>
<1 19 7>
<1 20 4>
<1 21 55>
<1 22 14>
<1 23 27>
<1 24 29>
<1 25 26>
<1 26 6>
<1 27 5>
<1 28 24>
<1 29 4>
<1 30 5>
<1 31 7>
<1 32 4>
<1 33 15>
<1 34 3>
<1 35 7>
<1 36 9>
<1 37 4>
<1 38 7>
<1 39 5>
<1 40 4>
<1 41 21>
<1 42 12>
<1 43 6>
<1 44 5>
<1 45 5>
};

PREC = {<1, 3>
<1, 7>
<2, 4>
<2, 8>
<3, 5>
<4, 6>
<5, 9>
<6, 10>
<7, 9>
<7, 14>
<8, 10>
<8, 14>
<9, 41>
<10, 41>
<11, 13>
<12, 13>
<12, 37>
<13, 14>
<13, 15>
<14, 17>
<14, 25>
<14, 29>
<14, 30>
<14, 31>
<14, 32>
<15, 16>
<15, 18>
<15, 23>
<15, 24>
<16, 19>
<17, 26>
<17, 27>
<18, 19>
<19, 20>
<19, 33>
<20, 21>
<21, 22>
<22, 28>
<23, 33>
<24, 33>
<25, 26>
<26, 38>
<27, 28>
<27, 33>
<28, 38>
<29, 41>
<30, 41>
<31, 41>
<32, 41>
<33, 34>
<33, 35>
<33, 36>
<34, 38>
<35, 40>
<36, 38>
<37, 43>
<38, 40>
<39, 41>
<40, 41>
<41, 42>
<42, 44>
<42, 45>
};



NW = 11;
NS = 11;
NM = 1;
OR = [1.0];
precision = 0.0178571428571429;
WSFIXe = {
<1 1>
<2 2>
<3 3>
<4 4>
<5 5>
<6 6>
<7 7>
<8 8>
<9 9>
<10 10>
<11 11>
};
WSFEASe = { };
TSFIXe = { };
FATSe = { };
MT = { };
TTIne = { };
TWIne = { };
