TimeLimit = 120;

NT = 32;

DTm = {<1 1 458>
<1 2 276>
<1 3 520>
<1 4 1400>
<1 5 352>
<1 6 196>
<1 7 214>
<1 8 456>
<1 9 646>
<1 10 512>
<1 11 408>
<1 12 262>
<1 13 544>
<1 14 202>
<1 15 458>
<1 16 694>
<1 17 616>
<1 18 678>
<1 19 328>
<1 20 324>
<1 21 100>
<1 22 352>
<1 23 544>
<1 24 500>
<1 25 382>
<1 26 858>
<1 27 388>
<1 28 352>
<1 29 428>
<1 30 238>
<1 31 258>
<1 32 196>
};

PREC = {<1, 5>
<2, 6>
<3, 9>
<4, 15>
<5, 6>
<6, 7>
<6, 8>
<6, 9>
<7, 21>
<8, 21>
<9, 10>
<9, 11>
<10, 16>
<11, 12>
<12, 13>
<13, 14>
<13, 15>
<14, 16>
<14, 17>
<15, 17>
<16, 18>
<17, 19>
<18, 21>
<19, 20>
<20, 21>
<21, 22>
<21, 23>
<21, 24>
<22, 25>
<23, 32>
<24, 32>
<25, 26>
<26, 27>
<27, 28>
<28, 29>
<29, 30>
<30, 31>
<31, 32>
};



NW = 9;
NS = 9;
NM = 1;
OR = [1.0];
precision = 0.00061012812690665;
WSFIXe = {
<1 1>
<2 2>
<3 3>
<4 4>
<5 5>
<6 6>
<7 7>
<8 8>
<9 9>
};
WSFEASe = { };
TSFIXe = { };
FATSe = { };
MT = { };
TTIne = { };
TWIne = { };
