TimeLimit = 120;

NT = 89;

DTm = {<1 1 1>
<1 2 2>
<1 3 3>
<1 4 4>
<1 5 5>
<1 6 6>
<1 7 7>
<1 8 8>
<1 9 9>
<1 10 10>
<1 11 1>
<1 12 2>
<1 13 3>
<1 14 4>
<1 15 5>
<1 16 6>
<1 17 7>
<1 18 8>
<1 19 9>
<1 20 10>
<1 21 1>
<1 22 2>
<1 23 3>
<1 24 4>
<1 25 5>
<1 26 6>
<1 27 7>
<1 28 8>
<1 29 9>
<1 30 10>
<1 31 1>
<1 32 2>
<1 33 3>
<1 34 4>
<1 35 5>
<1 36 6>
<1 37 7>
<1 38 8>
<1 39 9>
<1 40 10>
<1 41 1>
<1 42 2>
<1 43 3>
<1 44 4>
<1 45 5>
<1 46 6>
<1 47 7>
<1 48 8>
<1 49 9>
<1 50 10>
<1 51 1>
<1 52 2>
<1 53 3>
<1 54 4>
<1 55 5>
<1 56 6>
<1 57 7>
<1 58 8>
<1 59 9>
<1 60 10>
<1 61 1>
<1 62 2>
<1 63 3>
<1 64 4>
<1 65 5>
<1 66 6>
<1 67 7>
<1 68 8>
<1 69 9>
<1 70 10>
<1 71 1>
<1 72 2>
<1 73 3>
<1 74 4>
<1 75 5>
<1 76 6>
<1 77 7>
<1 78 8>
<1 79 9>
<1 80 10>
<1 81 1>
<1 82 2>
<1 83 3>
<1 84 4>
<1 85 5>
<1 86 6>
<1 87 7>
<1 88 8>
<1 89 9>
};

PREC = {<1, 2>
<2, 3>
<3, 4>
<4, 5>
<4, 6>
<4, 7>
<4, 8>
<4, 9>
<5, 10>
<6, 11>
<7, 12>
<8, 18>
<9, 18>
<10, 14>
<11, 12>
<12, 13>
<13, 14>
<14, 15>
<14, 16>
<15, 17>
<16, 54>
<17, 18>
<18, 19>
<18, 20>
<19, 22>
<20, 21>
<20, 28>
<21, 54>
<22, 23>
<23, 24>
<24, 25>
<25, 26>
<25, 27>
<25, 29>
<26, 37>
<27, 33>
<28, 29>
<29, 31>
<30, 54>
<31, 32>
<32, 33>
<33, 34>
<34, 35>
<35, 36>
<35, 37>
<36, 38>
<37, 38>
<38, 39>
<39, 40>
<39, 41>
<39, 42>
<39, 43>
<40, 44>
<41, 53>
<42, 53>
<43, 45>
<44, 52>
<45, 46>
<46, 47>
<47, 48>
<47, 49>
<49, 50>
<50, 51>
<51, 52>
<52, 53>
<53, 68>
<53, 69>
<53, 70>
<53, 71>
<54, 55>
<55, 56>
<56, 57>
<57, 58>
<57, 59>
<57, 60>
<57, 61>
<57, 62>
<57, 63>
<57, 64>
<57, 65>
<57, 66>
<58, 67>
<59, 67>
<60, 67>
<61, 67>
<62, 67>
<63, 67>
<64, 67>
<65, 67>
<66, 67>
<67, 73>
<68, 72>
<69, 72>
<70, 72>
<71, 73>
<72, 78>
<72, 80>
<73, 74>
<74, 75>
<74, 76>
<75, 77>
<76, 81>
<77, 78>
<78, 79>
<79, 81>
<80, 81>
<80, 87>
<81, 82>
<81, 84>
<81, 85>
<82, 83>
<83, 86>
<84, 86>
<85, 86>
<86, 87>
<86, 89>
<87, 88>
<87, 89>
};



NW = 10;
NS = 10;
NM = 1;
OR = [1.0];
precision = 0.02;
WSFIXe = {
<1 1>
<2 2>
<3 3>
<4 4>
<5 5>
<6 6>
<7 7>
<8 8>
<9 9>
<10 10>
};
WSFEASe = { };
TSFIXe = { };
FATSe = { };
MT = { };
TTIne = { };
TWIne = { };
