TimeLimit = 120;

NT = 70;

DTm = {<1 1 17>
<1 2 66>
<1 3 54>
<1 4 52>
<1 5 6>
<1 6 88>
<1 7 21>
<1 8 128>
<1 9 68>
<1 10 70>
<1 11 85>
<1 12 21>
<1 13 134>
<1 14 135>
<1 15 94>
<1 16 90>
<1 17 50>
<1 18 143>
<1 19 19>
<1 20 54>
<1 21 50>
<1 22 40>
<1 23 73>
<1 24 12>
<1 25 152>
<1 26 42>
<1 27 45>
<1 28 74>
<1 29 26>
<1 30 11>
<1 31 31>
<1 32 50>
<1 33 102>
<1 34 46>
<1 35 35>
<1 36 40>
<1 37 2>
<1 38 1>
<1 39 3>
<1 40 13>
<1 41 16>
<1 42 25>
<1 43 21>
<1 44 43>
<1 45 30>
<1 46 83>
<1 47 89>
<1 48 56>
<1 49 59>
<1 50 43>
<1 51 11>
<1 52 26>
<1 53 44>
<1 54 121>
<1 55 38>
<1 56 68>
<1 57 22>
<1 58 7>
<1 59 16>
<1 60 32>
<1 61 25>
<1 62 27>
<1 63 156>
<1 64 28>
<1 65 15>
<1 66 26>
<1 67 18>
<1 68 72>
<1 69 23>
<1 70 27>
};

PREC = {<1, 2>
<1, 41>
<1, 69>
<1, 70>
<2, 3>
<3, 4>
<3, 68>
<4, 6>
<4, 7>
<5, 6>
<5, 24>
<5, 30>
<6, 8>
<7, 8>
<8, 12>
<9, 10>
<10, 11>
<11, 12>
<12, 13>
<12, 14>
<13, 23>
<14, 23>
<15, 16>
<16, 17>
<16, 18>
<17, 19>
<18, 19>
<19, 20>
<19, 22>
<19, 57>
<20, 21>
<21, 23>
<22, 23>
<23, 25>
<23, 31>
<23, 33>
<24, 25>
<25, 26>
<25, 27>
<25, 28>
<25, 29>
<26, 35>
<27, 35>
<28, 35>
<29, 35>
<30, 31>
<31, 32>
<32, 35>
<33, 34>
<34, 35>
<35, 36>
<35, 44>
<35, 48>
<35, 51>
<35, 53>
<35, 56>
<35, 60>
<35, 61>
<35, 62>
<36, 37>
<37, 38>
<38, 39>
<39, 40>
<40, 42>
<41, 42>
<42, 43>
<43, 50>
<44, 45>
<45, 46>
<46, 47>
<47, 50>
<48, 49>
<49, 50>
<51, 52>
<52, 54>
<53, 54>
<54, 55>
<57, 58>
<58, 59>
<59, 60>
<61, 65>
<62, 63>
<63, 64>
<64, 65>
<64, 66>
<64, 67>
};



NW = 3;
NS = 3;
NM = 1;
OR = [1.0];
precision = 0.00085397096498719;
WSFIXe = {
<1 1>
<2 2>
<3 3>
};
WSFEASe = { };
TSFIXe = { };
FATSe = { };
MT = { };
TTIne = { };
TWIne = { };
